Time,CBuilding,Playground,Dorm5,Dorm9,Dorm8,Road,Playground2,CBuilding2,Road2,Road3
21:53.4,82.229193,90.773101,57.239181,66.200644,45.71999,82.646844,75.037275,52.230581,75.143587,77.05578
21:53.5,86.053928,91.973761,60.197916,62.910115,43.512926,81.786022,74.889824,50.456981,80.598593,72.760837
21:53.6,90.161235,101.491714,55.992395,49.06528,46.524242,81.734261,74.368433,50.346484,71.603991,68.389186
21:53.7,88.082635,98.034302,54.338038,50.422454,46.646382,83.618945,74.803463,50.208989,54.703633,65.883992
21:53.8,89.906048,104.369839,56.834293,53.060196,47.277523,81.906032,75.847641,50.208239,55.143225,77.561044
21:53.9,88.006604,100.796543,51.292586,56.597595,48.34785,82.809712,75.152204,58.314964,71.422899,79.804226
21:54.0,88.063476,102.246404,65.030024,58.410816,47.434604,83.283407,76.979874,51.933501,86.460033,76.66506
21:54.1,88.828702,105.344123,62.960651,59.239725,48.390163,82.936353,76.545025,49.476844,79.172834,78.462087
21:54.2,91.503454,100.876506,62.205704,65.772674,48.605299,83.264265,75.688544,47.618099,80.151987,73.101806
21:54.3,90.755007,106.747616,55.85159,76.92724,48.033631,83.248416,75.50944,49.940204,83.892644,69.317093
21:54.4,89.005038,103.322795,52.668052,59.0366,49.710233,85.003861,76.295642,49.215262,79.653462,59.797596
21:54.5,93.949718,104.657352,52.829586,56.753838,50.438008,83.25368,75.447439,49.373681,82.704237,69.634927
21:54.6,94.495134,101.183145,57.768383,57.544214,70.382315,85.187523,76.665704,53.639763,73.225108,55.004251
21:54.7,87.792732,104.27356,53.978446,60.60265,75.314304,82.942243,76.217135,55.630125,82.052584,51.680795
21:54.8,87.623778,96.439883,50.072226,74.386336,61.43208,84.664375,75.935882,53.032932,77.780609,52.481453
21:54.9,91.389691,104.449261,52.920325,96.296066,74.59075,83.405819,76.193516,49.49015,81.285661,58.782302
21:55.0,88.693708,100.617398,51.697851,98.114288,60.810576,82.864186,76.480752,49.348707,84.009213,53.174047
21:55.1,95.98259,101.653138,57.751558,97.690758,66.071433,84.673857,76.438064,48.397784,82.67026,52.883172
21:55.2,89.159867,102.814503,68.154947,97.249016,59.512873,83.839871,76.163696,47.362003,82.805563,67.501382
21:55.3,87.133863,98.382801,61.541317,94.601164,60.924775,84.089338,75.526449,47.127551,83.24771,68.291692
21:55.4,88.779469,99.314643,54.479742,92.802428,91.999568,82.953274,75.82246,59.971655,83.417965,82.623686
21:55.5,86.166882,98.742591,64.083764,89.032854,84.62565,83.266326,75.371397,55.90862,81.694419,71.883017
21:55.6,85.773575,94.99502,55.908423,91.507469,74.40218,84.112227,75.096335,51.542469,82.408954,83.772723
21:55.7,85.41965,94.313137,48.16462,86.43491,79.019827,83.61467,75.9737,48.618654,78.472561,79.397006
21:55.8,85.77239,97.921907,47.316205,80.241573,84.788941,82.073459,77.263299,50.216196,81.414374,81.666402
21:55.9,88.491248,91.65668,47.778918,88.036966,75.936359,82.125216,76.294554,50.235183,73.322511,78.911079
21:56.0,89.307128,90.750537,70.026997,86.278485,80.691346,82.776677,76.890558,52.181157,67.856678,59.874691
21:56.1,96.231444,90.777165,59.970729,88.311225,66.810939,83.017455,75.257579,51.989922,69.540571,48.807828
21:56.2,91.01106,94.560496,55.132914,88.223752,63.019339,82.452686,77.095723,53.657055,85.09286,53.22291
21:56.3,88.849505,90.21492,85.2728,88.471066,49.187905,81.211617,76.179509,52.643238,84.044835,52.126083
21:56.4,92.079262,92.287357,85.712617,89.673003,49.913716,81.792617,75.686039,53.100834,81.98766,51.481947
21:56.5,88.302982,91.231848,87.73009,86.716011,48.769724,81.999729,76.911129,60.213946,82.605034,60.389721
21:56.6,89.209267,87.427158,88.499749,89.415743,57.303055,83.470796,76.784642,55.247258,83.036254,74.542234
21:56.7,93.032997,92.008851,89.015606,83.625738,49.442928,82.325458,76.543312,53.127738,74.489087,70.858856
21:56.8,90.13855,89.872407,88.08677,77.090348,57.268653,82.319562,75.233749,52.949177,71.110676,55.624272
21:56.9,87.393733,90.83711,89.948741,66.463916,53.875555,81.878657,75.493314,51.39763,65.588464,54.174419
21:57.0,89.512138,90.615317,85.717653,81.088425,51.230219,82.268715,75.194402,61.737096,61.592972,79.545373
21:57.1,90.68303,91.122112,84.654029,65.191059,48.646824,82.394356,74.8277,57.25584,56.16692,69.660386
21:57.2,85.741698,93.721877,83.49047,63.807226,47.966055,84.592417,75.620936,52.144918,73.771186,75.337698
21:57.3,82.79588,91.098557,79.374202,58.598255,48.369591,82.959814,76.133652,51.31855,81.565567,72.092477
21:57.4,84.755196,98.48478,76.979638,63.597724,48.434483,82.909025,76.387238,48.165976,74.53017,52.944183
21:57.5,86.098813,93.193588,75.234983,58.13205,47.718865,83.660296,76.52769,48.15105,87.306081,73.918111
21:57.6,89.663431,87.191078,78.112626,48.007589,46.969822,83.483156,78.517809,49.119406,75.097808,68.778015
21:57.7,86.473309,98.972883,77.325121,48.663184,47.853384,84.046808,77.473209,49.875158,78.101963,65.710357
21:57.8,89.411215,101.329097,69.99339,59.795193,47.910638,83.870082,79.764407,59.161407,82.27977,60.131003
21:57.9,85.66491,92.658314,68.602332,57.070152,68.876518,84.623868,79.748441,83.126231,81.793287,57.042411
21:58.0,86.156279,99.764923,70.596586,57.567451,48.461058,85.873596,82.152338,64.054253,70.774388,49.882642
21:58.1,87.437507,91.90824,47.870219,47.048503,49.469907,87.554983,81.090452,78.328543,75.323369,51.122558
21:58.2,88.307033,99.26487,47.017232,48.007736,49.93529,88.941158,81.098155,68.328053,71.258448,51.418423
21:58.3,89.771349,100.160912,73.289409,48.456985,62.168224,92.258308,81.233016,67.946141,86.758124,87.071471
21:58.4,89.32266,92.323803,74.267734,48.982521,71.920403,95.286362,79.182197,75.377236,78.653849,82.024522
21:58.5,86.373435,97.690585,77.680301,68.439914,75.93265,93.468392,79.184951,64.883336,81.831795,89.549192
21:58.6,85.645698,91.776902,84.518728,69.440804,82.463416,91.530264,80.462341,73.470768,100.470328,85.604674
21:58.7,91.239394,98.07945,86.296378,81.403987,81.301025,91.403627,80.64711,78.177225,86.852924,85.147948
21:58.8,88.552803,88.446494,84.55973,102.446949,84.900259,89.610052,80.079476,66.602598,92.04864,81.753204
21:58.9,93.368251,95.096756,85.450639,67.491675,67.669485,90.254973,80.903125,69.050159,95.942772,57.381578
21:59.0,88.770616,96.962597,83.122823,44.659674,48.794109,91.98092,82.642238,59.031591,99.023696,59.510919
21:59.1,91.642699,97.697769,82.748412,47.701767,58.487566,89.078138,80.202352,71.334171,93.091719,65.586438
