Date	Time	AveragePeak
2014:12:04	19:42:52.474	74.678525	99.423410
2014:12:04	19:42:52.574	75.408925	99.423410
2014:12:04	19:42:52.674	74.972707	99.423410
2014:12:04	19:42:52.774	75.749199	99.423410
2014:12:04	19:42:52.874	75.102021	99.423410
2014:12:04	19:42:52.974	74.326486	99.423410
2014:12:04	19:42:53.074	74.332030	99.423410
2014:12:04	19:42:53.174	74.332698	99.423410
2014:12:04	19:42:53.274	103.919608	103.945784
2014:12:04	19:42:53.374	92.319471	103.945784
2014:12:04	19:42:53.474	92.901183	103.945784
2014:12:04	19:42:53.573	95.094539	97.701723
2014:12:04	19:42:53.674	97.720327	97.720327
2014:12:04	19:42:53.774	100.514216	100.586408
2014:12:04	19:42:53.874	97.702702	101.970197
2014:12:04	19:42:53.974	101.898760	103.656849
2014:12:04	19:42:54.074	76.294260	103.656849
2014:12:04	19:42:54.174	90.359711	103.656849
2014:12:04	19:42:54.274	84.881712	103.656849
2014:12:04	19:42:54.374	73.089006	103.656849
2014:12:04	19:42:54.474	100.544257	103.656849
2014:12:04	19:42:54.574	95.857487	103.656849
2014:12:04	19:42:54.674	87.645808	103.656849
2014:12:04	19:42:54.774	82.651947	103.656849
2014:12:04	19:42:54.874	93.618913	103.656849
2014:12:04	19:42:54.974	104.407960	104.409347
2014:12:04	19:42:55.074	71.255596	104.409347
2014:12:04	19:42:55.174	72.637348	104.409347
2014:12:04	19:42:55.274	92.650885	104.409347
2014:12:04	19:42:55.374	101.461436	104.409347
2014:12:04	19:42:55.474	98.083956	104.409347
2014:12:04	19:42:55.574	96.218800	104.409347
2014:12:04	19:42:55.674	92.826789	92.826789
2014:12:04	19:42:55.774	88.531877	92.826789
2014:12:04	19:42:55.874	97.170393	99.999509
2014:12:04	19:42:55.974	81.231228	99.999509
2014:12:04	19:42:56.074	81.035704	99.999509
2014:12:04	19:42:56.174	94.473221	99.999509
2014:12:04	19:42:56.274	101.388938	101.388938
2014:12:04	19:42:56.374	97.573019	104.642167
2014:12:04	19:42:56.474	82.241595	104.642167
2014:12:04	19:42:56.574	77.512165	104.642167
2014:12:04	19:42:56.674	100.510269	104.642167
2014:12:04	19:42:56.774	99.055854	104.642167
2014:12:04	19:42:56.875	72.326859	104.642167
2014:12:04	19:42:56.974	71.219708	104.642167
2014:12:04	19:42:57.074	75.453571	104.642167
