Time,CBuilding,Playground,Dorm5,Dorm9
21:53.4,82.229193,90.773101,57.239181,66.200644
21:53.5,86.053928,91.973761,60.197916,62.910115
21:53.6,90.161235,101.491714,55.992395,49.06528
21:53.7,88.082635,98.034302,54.338038,50.422454
21:53.8,89.906048,104.369839,56.834293,53.060196
21:53.9,88.006604,100.796543,51.292586,56.597595
21:54.0,88.063476,102.246404,65.030024,58.410816
21:54.1,88.828702,105.344123,62.960651,59.239725
21:54.2,91.503454,100.876506,62.205704,65.772674
21:54.3,90.755007,106.747616,55.85159,76.92724
21:54.4,89.005038,103.322795,52.668052,59.0366
21:54.5,93.949718,104.657352,52.829586,56.753838
21:54.6,94.495134,101.183145,57.768383,57.544214
21:54.7,87.792732,104.27356,53.978446,60.60265
21:54.8,87.623778,96.439883,50.072226,74.386336
21:54.9,91.389691,104.449261,52.920325,96.296066
21:55.0,88.693708,100.617398,51.697851,98.114288
21:55.1,95.98259,101.653138,57.751558,97.690758
21:55.2,89.159867,102.814503,68.154947,97.249016
21:55.3,87.133863,98.382801,61.541317,94.601164
21:55.4,88.779469,99.314643,54.479742,92.802428
21:55.5,86.166882,98.742591,64.083764,89.032854
21:55.6,85.773575,94.99502,55.908423,91.507469
21:55.7,85.41965,94.313137,48.16462,86.43491
21:55.8,85.77239,97.921907,47.316205,80.241573
21:55.9,88.491248,91.65668,47.778918,88.036966
21:56.0,89.307128,90.750537,70.026997,86.278485
21:56.1,96.231444,90.777165,59.970729,88.311225
21:56.2,91.01106,94.560496,55.132914,88.223752
21:56.3,88.849505,90.21492,85.2728,88.471066
21:56.4,92.079262,92.287357,85.712617,89.673003
21:56.5,88.302982,91.231848,87.73009,86.716011
21:56.6,89.209267,87.427158,88.499749,89.415743
21:56.7,93.032997,92.008851,89.015606,83.625738
21:56.8,90.13855,89.872407,88.08677,77.090348
21:56.9,87.393733,90.83711,89.948741,66.463916
21:57.0,89.512138,90.615317,85.717653,81.088425
21:57.1,90.68303,91.122112,84.654029,65.191059
21:57.2,85.741698,93.721877,83.49047,63.807226
21:57.3,82.79588,91.098557,79.374202,58.598255
21:57.4,84.755196,98.48478,76.979638,63.597724
21:57.5,86.098813,93.193588,75.234983,58.13205
21:57.6,89.663431,87.191078,78.112626,48.007589
21:57.7,86.473309,98.972883,77.325121,48.663184
21:57.8,89.411215,101.329097,69.99339,59.795193
21:57.9,85.66491,92.658314,68.602332,57.070152
21:58.0,86.156279,99.764923,70.596586,57.567451
21:58.1,87.437507,91.90824,47.870219,47.048503
21:58.2,88.307033,99.26487,47.017232,48.007736
21:58.3,89.771349,100.160912,73.289409,48.456985
21:58.4,89.32266,92.323803,74.267734,48.982521
21:58.5,86.373435,97.690585,77.680301,68.439914
21:58.6,85.645698,91.776902,84.518728,69.440804
21:58.7,91.239394,98.07945,86.296378,81.403987
21:58.8,88.552803,88.446494,84.55973,102.446949
21:58.9,93.368251,95.096756,85.450639,67.491675
21:59.0,88.770616,96.962597,83.122823,44.659674
21:59.1,91.642699,97.697769,82.748412,47.701767
21:59.2,91.234819,90.480652,86.094196,50.214856
21:59.3,95.777878,89.076711,85.550507,48.003133
21:59.4,91.441738,98.731488,87.651258,47.872941
21:59.5,85.255034,89.822958,89.16379,49.525588
21:59.6,82.220249,90.677315,87.339881,49.947027
21:59.7,86.719219,87.717571,89.272109,50.959
21:59.8,85.835449,90.98901,86.806677,48.33602
21:59.9,85.955138,89.891124,84.282843,49.770509
22:00.0,88.430001,87.626947,85.17886,55.031031
22:00.1,85.218252,88.389694,80.882625,50.835353
