Date,Time,Average,Peak
2014:12:04,19:34:44.814,69.896319,101.429616
2014:12:04,19:34:44.913,52.885706,101.429616
2014:12:04,19:34:45.013,58.698046,101.429616
2014:12:04,19:34:45.113,49.750277,101.429616
2014:12:04,19:34:45.213,56.905670,101.429616
2014:12:04,19:34:45.313,62.560959,65.502546
2014:12:04,19:34:45.413,57.810041,75.310402
2014:12:04,19:34:45.514,56.408596,75.310402
2014:12:04,19:34:45.613,66.378409,75.310402
2014:12:04,19:34:45.714,64.613556,75.310402
2014:12:04,19:34:45.813,62.632562,75.310402
2014:12:04,19:34:45.913,72.830288,75.310402
2014:12:04,19:34:46.014,60.743938,75.310402
2014:12:04,19:34:46.113,64.960799,76.390475
2014:12:04,19:34:46.214,59.483035,76.390475
2014:12:04,19:34:46.313,57.915505,76.390475
2014:12:04,19:34:46.413,69.396724,76.390475
2014:12:04,19:34:46.513,55.604273,76.390475
2014:12:04,19:34:46.614,60.653480,76.390475
2014:12:04,19:34:46.714,58.663284,76.390475
2014:12:04,19:34:46.813,78.590884,78.590884
2014:12:04,19:34:46.913,63.372675,80.463779
2014:12:04,19:34:47.013,55.176311,80.463779
2014:12:04,19:34:47.113,68.282096,80.463779
2014:12:04,19:34:47.213,60.135575,80.463779
2014:12:04,19:34:47.313,64.187951,80.463779
2014:12:04,19:34:47.413,76.302316,76.577734
2014:12:04,19:34:47.513,63.435611,76.577734
2014:12:04,19:34:47.613,68.849065,76.577734
2014:12:04,19:34:47.713,65.090305,76.577734
2014:12:04,19:34:47.813,70.529072,76.577734
2014:12:04,19:34:47.913,65.486719,76.577734
2014:12:04,19:34:48.013,62.157115,76.577734
2014:12:04,19:34:48.113,64.249963,77.939377
2014:12:04,19:34:48.213,65.797096,77.939377
2014:12:04,19:34:48.313,66.000365,81.430655
2014:12:04,19:34:48.413,70.632047,81.430655
2014:12:04,19:34:48.513,70.413636,81.430655
2014:12:04,19:34:48.613,63.329862,81.430655
2014:12:04,19:34:48.713,56.268541,81.430655
2014:12:04,19:34:48.813,59.407797,81.430655
2014:12:04,19:34:48.913,63.257782,82.655899
2014:12:04,19:34:49.013,62.300279,82.655899
2014:12:04,19:34:49.113,56.784938,82.655899
2014:12:04,19:34:49.213,67.977788,82.655899
2014:12:04,19:34:49.313,48.611709,82.655899
2014:12:04,19:34:49.413,62.734888,82.655899
2014:12:04,19:34:49.513,52.986415,70.575561
2014:12:04,19:34:49.613,51.136434,70.575561
2014:12:04,19:34:49.714,76.132484,76.132484
2014:12:04,19:34:49.813,74.983715,77.888995
